CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA PEDRO I, 1680 LOJA B;ITAPOA;Belo Horizonte;MG;-19,836413;-43,9598787;AVENIDA PEDRO I, 1680 LOJA B, ITAPOA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA PEDRO II 2856;CARLOS PRATES;Belo Horizonte;MG;-19,9107661;-43,9678974;AVENIDA PEDRO II 2856, CARLOS PRATES, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA PRES. ANTONIO CARLOS, 7920 - 7924;SAO LUIZ;Belo Horizonte;MG;-19,856814;-43,9676434;AVENIDA PRES. ANTONIO CARLOS, 7920 - 7924, SAO LUIZ, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA PROFESSOR MARIO WERNECK;ESTORIL;Belo Horizonte;MG;-19,9668128;-43,9591859;AVENIDA PROFESSOR MARIO WERNECK, ESTORIL, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA PRUDENTE DE MORAIS Nº1000;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;AVENIDA PRUDENTE DE MORAIS Nº1000, CIDADE JARDIM, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;AVENIDA RAJA GABAGLIA Nº4427;SANTA LUCIA;Belo Horizonte;MG;-19,9695483;-43,9543779;AVENIDA RAJA GABAGLIA Nº4427, SANTA LUCIA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;PRAÇA DA BANDEIRA Nº 180;COMITECO;Belo Horizonte;MG;-19,9553562;-43,9215863;PRAÇA DA BANDEIRA Nº 180, COMITECO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;PRAÇA HUGO WERNECK , 455;SANTA EFIGENIA;Belo Horizonte;MG;-19,9245986;-43,927008;PRAÇA HUGO WERNECK , 455, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA  DA BAHIA, Nº 1070;CENTRO;Belo Horizonte;MG;-19,9152382;-43,9347817;RUA  DA BAHIA, Nº 1070, CENTRO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA CEL. PEDRO PAULO PENIDO , 128;CIDADE NOVA;Belo Horizonte;MG;-19,8903523;-43,9275683;RUA CEL. PEDRO PAULO PENIDO , 128, CIDADE NOVA, Belo Horizonte, MG, Brasil
